ENGTYPE_1,ID_1,ISO_CODE,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,geometry
Province,,TH-37,Thailand,Amnat Charoen,จังหวัดอำนาจเจริ,Changwat,,POINT (104.7409552237084 15.88984918161293)
Province,2.0,TH-15,Thailand,Ang Thong,จังหวัดอ่างทอง,Changwat,,POINT (100.3500939596715 14.62060753923974)
Province,3.0,TH-10,Thailand,Bangkok Metropolis,จังหวัดเชียงใหม่,Changwat,Bangkok|Krung Thep|Krung Thep Maha Nakhon|Phra Nakhon-Thonburi,POINT (100.62412271097 13.77209412517577)
Province,4.0,TH-38,Thailand,Bueng Kan,บึงกาฬ,Changwat,,POINT (103.7131762391517 18.14528093972364)
Province,5.0,TH-31,Thailand,Buri Ram,จังหวัดบุรีรัมย์,Changwat,Buri Rum,POINT (102.9585070134017 14.81924424984509)
Province,6.0,TH-24,Thailand,Chachoengsao,จังหวัดฉะเชิงเทร,Changwat,Chaxerngsao|Pad Rew|Paed Riu|Petrieu|Shajeun Dhrao,POINT (101.4309957443447 13.60553388623091)
Province,7.0,TH-18,Thailand,Chai Nat,จังหวัดชัยนาท,Changwat,Chainat,POINT (100.0252168009615 15.1328574202994)
Province,8.0,TH-36,Thailand,Chaiyaphum,จังหวัดชัยนาท,Changwat,,POINT (101.8199207721619 16.03001284391961)
Province,9.0,TH-22,Thailand,Chanthaburi,จันทบุรี,Changwat,Chantaburi|Muang Chan,POINT (102.129698413259 12.88021186775178)
Province,10.0,TH-50,Thailand,Chiang Mai,จังหวัดเชียงใหม่,Changwat,,POINT (98.72769718770388 18.7885178399573)
Province,11.0,TH-57,Thailand,Chiang Rai,จังหวัดเชียงราย,Changwat,,POINT (99.86796120214377 19.84541615941051)
Province,12.0,TH-20,Thailand,Chon Buri,จังหวัดชลบุรี,Changwat,,POINT (101.2034666108614 13.19383261458232)
Province,13.0,TH-86,Thailand,Chumphon,จังหวัดชุมพร,Changwat,,POINT (99.06209591586783 10.34656167048137)
Province,14.0,TH-46,Thailand,Kalasin,จังหวัดกาฬสินธุ์,Changwat,,POINT (103.6239625828668 16.62704775746295)
Province,15.0,TH-62,Thailand,Kamphaeng Phet,จังหวัดกำแพงเพชร,Changwat,Gampheang Phet|Kambhengbhej,POINT (99.53426358059257 16.33068838331267)
