Year_Recorded	Region	Province	HIVpos_children	2PCR_children	TRpct	livebirths_100k	pregnancies	HIVpos_pregwomen_labor_room
2013	11	 พังงา	1	12	8.33%	25.9	3861	20
2013	4	 กาญจนบุรี	0	34	0.00%	0	9030	57
2013	3	 สมุทรปราการ	1	48	2.08%	8.7	11495	93
2013	4	 ประจวบคีรีขันธ์	1	109	0.92%	14.12	7080	59
2013	9	 เพชรบูรณ์	1	31	3.23%	11.81	8470	44
2013	6	 กาฬสินธุ์	1	46	2.17%	12.84	7788	34
2013	3	 จันทบุรี	0	31	0.00%	0	5696	40
2013	8	 ชัยนาท	0	0	0.00%	0	491	6
2013	3	 ระยอง	1	60	1.67%	9.72	10290	106
2013	11	 ชุมพร	0	24	0.00%	0	7607	48
2013	10	 เชียงใหม่	0	54	0.00%	0	13614	95
2013	3	 ตราด	0	7	0.00%	0	3021	28
2013	11	 กระบี่ 	0	11	0.00%	0	7181	35
2013	6	 ร้อยเอ็ด	1	31	3.23%	11.56	8648	40
2013	5	 บุรีรัมย์	3	87	3.45%	18.87	15896	86
2013	9	 ตาก	0	29	0.00%	0	8182	58
2013	9	 สุโขทัย	1	18	5.56%	31.88	3137	12
2013	2	 นครนายก	0	0	0.00%	0	177	3
2013	4	 นครปฐม	0	10	0.00%	0	9081	70
2013	7	 นครพนม	0	18	0.00%	0	6789	27
2013	7	 อุบลราชธานี	2	86	2.33%	10.44	19157	87
2013	1	 นนทบุรี	1	142	0.70%	11.11	9004	104
2013	8	 นครสวรรค์	0	73	0.00%	0	8753	63
2013	8	 กำแพงเพชร	0	41	0.00%	0	6612	37
2013	4	 สุพรรณบุรี	1	45	2.22%	11.5	8695	61
2013	10	 น่าน	0	10	0.00%	0	4179	14
2013	1	 ปทุมธานี	0	37	0.00%	0	4754	31
2013	1	 พระนครศรีอยุธยา	1	72	1.39%	11.4	8775	66
2013	2	 สิงห์บุรี	1	13	7.69%	51.31	1949	14
2013	5	 ชัยภูมิ	1	55	1.82%	12.17	8220	51
2013	9	 อุตรดิตถ์	4	38	10.53%	104.03	3845	27
2013	3	 ปราจีนบุรี	0	19	0.00%	0	3458	28
