,ISO_CODE,province,year,region,TRpct,livebirths_100k,pregnancies,ds,y
0,TH-37,Amnat Charoen,2013,7,0.0,0.0,3542,2013-01-01,0.0
1,TH-37,Amnat Charoen,2014,7,9.09,28.67,3488,2014-01-01,9.09
2,TH-37,Amnat Charoen,2015,7,0.0,0.0,3367,2015-01-01,0.0
3,TH-37,Amnat Charoen,2016,7,0.0,0.0,3112,2016-01-01,0.0
4,TH-15,Ang Thong,2013,1,0.0,0.0,2606,2013-01-01,0.0
5,TH-15,Ang Thong,2014,1,4.55,39.23,2549,2014-01-01,4.55
6,TH-15,Ang Thong,2015,1,6.25,42.75,2339,2015-01-01,6.25
7,TH-15,Ang Thong,2016,1,3.7,44.15,2265,2016-01-01,3.7
8,TH-10,Bangkok,2013,13,0.97,5.55,18022,2013-01-01,0.97
9,TH-10,Bangkok,2014,13,4.27,19.76,25300,2014-01-01,4.27
10,TH-10,Bangkok,2015,13,0.77,4.47,22387,2015-01-01,0.77
11,TH-10,Bangkok,2016,13,2.66,15.36,32556,2016-01-01,2.66
12,TH-38,Bueng Kan,2013,6,8.33,24.56,4072,2013-01-01,8.33
13,TH-38,Bueng Kan,2014,6,5.56,25.75,3884,2014-01-01,5.56
14,TH-38,Bueng Kan,2015,6,0.0,0.0,3046,2015-01-01,0.0
15,TH-38,Bueng Kan,2016,6,0.0,0.0,3282,2016-01-01,0.0
16,TH-31,Buri Ram,2013,5,3.45,18.87,15896,2013-01-01,3.45
17,TH-31,Buri Ram,2014,5,6.15,26.02,15372,2014-01-01,6.15
18,TH-31,Buri Ram,2015,5,1.49,6.79,14731,2015-01-01,1.49
19,TH-31,Buri Ram,2016,5,1.59,7.23,13824,2016-01-01,1.59
20,TH-24,Chachoengsao,2013,3,3.33,20.67,4839,2013-01-01,3.33
21,TH-24,Chachoengsao,2014,3,1.64,24.2,8266,2014-01-01,1.64
22,TH-24,Chachoengsao,2015,3,0.0,0.0,4470,2015-01-01,0.0
23,TH-24,Chachoengsao,2016,3,0.0,0.0,4813,2016-01-01,0.0
